customer_id,customer_name,email,signup_date,country,age
1,Customer41,customer410@yahoo.com,2022-01-28,UK,30
2,Custome41,custome411@email.com,2023-10-28,Mexico,29
3,customer41,customer412@email.com,2023-04-05,Australia,69
4,Customer8,customer83@email.com,2022-01-07,Germany,29
5,Custome8,custome84@yahoo.com,2022-12-15,USA,31
6,customer8,customer85@outlook.com,2024-02-21,USA,60
7,Customer2,customer26@outlook.com,2023-01-25,USA,41
8,Custome2,custome27@gmail.com,2022-12-19,Japan,61
9,customer2,customer28@email.com,2022-02-14,Germany,18
10,Customer48,customer489@company.com,2023-01-23,Australia,44
11,Custome48,custome4810@gmail.com,2023-10-06,USA,
12,customer48,customer4811@email.com,2023-01-06,Mexico,18
13,Customer18,customer1812@email.com,2022-03-13,India,69
14,Custome18,custome1813@gmail.com,2024-03-02,USA,23
15,customer18,customer1814@outlook.com,2022-08-27,USA,46
16,Customer16,customer1615@gmail.com,2023-04-10,USA,39
17,Custome16,custome1616@outlook.com,2022-12-30,UK,35
18,customer16,customer1617@yahoo.com,2023-12-20,Canada,68
19,Customer15,customer1518@gmail.com,2022-06-25,UK,
20,Custome15,custome1519@email.com,2022-06-17,USA,54
21,customer15,customer1520@company.com,2023-10-18,Germany,72
22,Customer9,customer921@email.com,2022-11-29,USA,48
23,Custome9,custome922@gmail.com,2022-02-02,USA,71
24,customer9,customer923@outlook.com,2022-03-09,UK,18
25,Customer48,customer4824@yahoo.com,2023-08-04,Canada,40
26,Custome48,custome4825@outlook.com,2023-05-27,India,30
27,customer48,customer4826@company.com,2023-10-21,USA,58
28,Customer7,customer727@company.com,2022-05-23,Canada,73
29,Custome7,custome728@yahoo.com,2023-07-06,Germany,30
30,customer7,customer729@outlook.com,2023-03-15,USA,54
31,Customer44,customer4430@email.com,2022-08-13,Germany,26
32,Custome44,custome4431@yahoo.com,2022-04-04,USA,48
33,customer44,customer4432@gmail.com,2022-06-06,USA,42
34,Customer48,customer4833@yahoo.com,2023-03-09,Brazil,73
35,Custome48,custome4834@email.com,2023-01-26,Mexico,51
36,customer48,customer4835@email.com,2023-06-26,India,35
37,Customer35,customer3536@outlook.com,2022-01-12,UK,21
38,Custome35,custome3537@gmail.com,2023-07-04,USA,24
39,customer35,customer3538@outlook.com,2022-12-15,France,28
40,Customer6,customer639@gmail.com,2022-06-11,UK,30
41,Custome6,,2024-01-10,USA,66
42,customer6,customer641@outlook.com,2024-02-20,Canada,48
43,Customer38,customer3842@yahoo.com,2022-04-19,USA,46
44,Custome38,custome3843@outlook.com,2023-06-04,Brazil,21
45,customer38,customer3844@email.com,2023-01-18,USA,66
46,Customer28,customer2845@yahoo.com,2024-03-08,France,58
47,Custome28,custome2846@email.com,2023-09-06,UK,19
48,customer28,customer2847@outlook.com,2022-04-25,Canada,57
49,Customer3,customer348@outlook.com,2022-11-11,Canada,47
50,Custome3,custome349@yahoo.com,2023-08-04,USA,19
51,customer3,customer350@gmail.com,2023-05-13,Mexico,42
52,Customer2,customer251@gmail.com,2023-06-30,India,44
53,Custome2,custome252@yahoo.com,2023-05-02,Brazil,24
54,customer2,customer253@email.com,2023-06-25,Japan,71
55,Customer6,customer654@email.com,2022-08-05,Germany,65
56,Custome6,custome655@email.com,2023-12-08,Brazil,55
57,customer6,customer656@yahoo.com,2023-02-13,USA,42
